Pos,FirstName,Surname,Laps,Time/Retired,PTS,Country,Day,Month,Year,Event
NC,Kimi,Räikkönen,0,DNF,0,Singapore,17,Sep,2017,Race result
NC,Jolyon,Palmer,15,DNF,0,Australia,26,Mar,2017,Race result
NC,Daniel,Ricciardo,5,DNF,0,Russia,30,Apr,2017,Race result
NC,Marcus,Ericsson,7,DNF,0,Japan,8,Oct,2017,Race result
NC,Romain,Grosjean,0,DNF,0,Russia,30,Apr,2017,Race result
NC,Marcus,Ericsson,63,DNF,0,Monaco,28,May,2017,Race result
NC,Kevin,Magnussen,46,DNF,0,Australia,26,Mar,2017,Race result
NC,Stoffel,Vandoorne,0,DNS,0,Bahrain,16,Apr,2017,Race result
NC,Kevin,Magnussen,0,DNF,0,Brazil,12,nov.,2017,Race result
NC,Stoffel,Vandoorne,66,DNF,0,Monaco,28,May,2017,Race result
NC,Pascal,Wehrlein,57,DNF,0,Monaco,28,May,2017,Race result
NC,Lance,Stroll,40,DNF,0,Australia,26,Mar,2017,Race result
NC,Sebastian,Vettel,4,DNF,0,Japan,8,Oct,2017,Race result
NC,Daniel,Ricciardo,25,DNF,0,Australia,26,Mar,2017,Race result
NC,Daniel,Ricciardo,0,DNF,0,Hungary,30,Jul,2017,Race result
NC,Carlos,Sainz,29,DNF,0,Malaysia,1,Oct,2017,Race result
NC,Lance,Stroll,12,DNF,0,Bahrain,16,Apr,2017,Race result
NC,Fernando,Alonso,32,DNF,0,Great Britain,16,Jul,2017,Race result
NC,Valtteri,Bottas,38,DNF,0,Spain,14,May,2017,Race result
NC,Esteban,Ocon,0,DNF,0,Brazil,12,nov.,2017,Race result
NC,Max,Verstappen,12,DNF,0,Azerbaijan,25,Jun,2017,Race result
NC,Fernando,Alonso,1,DNF,0,Austria,9,Jul,2017,Race result
NC,Daniil,Kvyat,18,DNF,0,China,9,Apr,2017,Race result
NC,Daniel,Ricciardo,20,DNF,0,Abu Dhabi,26,nov.,2017,Race result
NC,Romain,Grosjean,13,DNF,0,Australia,26,Mar,2017,Race result
NC,Fernando,Alonso,8,DNF,0,Singapore,17,Sep,2017,Race result
NC,Stoffel,Vandoorne,32,DNF,0,Spain,14,May,2017,Race result
NC,Jenson,Button,57,DNF,0,Monaco,28,May,2017,Race result
NC,Sergio,Perez,39,DNF,0,Azerbaijan,25,Jun,2017,Race result
NC,Felipe,Massa,35,DNF,0,Canada,12,Jun,2016,Race result
NC,Felipe,Massa,36,DNF,0,Germany,31,Jul,2016,Race result
NC,Marcus,Ericsson,3,DNF,0,Belgium,28,aug.,2016,Race result
NC,Valtteri,Bottas,6,DNF,0,Abu Dhabi,27,nov.,2016,Race result
NC,Pascal,Wehrlein,0,DNF,0,Belgium,28,aug.,2016,Race result
NC,Nico,Hulkenberg,20,DNF,0,Spain,15,May,2016,Race result
NC,Jolyon,Palmer,0,DNS,0,Bahrain,3,Apr,2016,Race result
NC,Carlos,Sainz,31,DNF,0,Europe,19,Jun,2016,Race result
NC,Daniil,Kvyat,6,DNF,0,Europe,19,Jun,2016,Race result
NC,Romain,Grosjean,17,DNF,0,Great Britain,10,Jul,2016,Race result
NC,Esteban,Gutierrez,16,DNF,0,Australia,20,Mar,2016,Race result
NC,Jenson,Button,43,DNF,0,Singapore,18,Sep,2016,Race result
NC,Jolyon,Palmer,37,DNF,0,Great Britain,10,Jul,2016,Race result
NC,Rio,Haryanto,24,DNF,0,Great Britain,10,Jul,2016,Race result
NC,Jolyon,Palmer,20,DNF,0,Brazil,13,nov.,2016,Race result
NC,Daniil,Kvyat,0,DNS,0,Australia,20,Mar,2016,Race result
NC,Carlos,Sainz,1,DNF,0,Belgium,28,aug.,2016,Race result
NC,Romain,Grosjean,56,DNF,0,Spain,15,May,2016,Race result
NC,Rio,Haryanto,17,DNF,0,Australia,20,Mar,2016,Race result
NC,Fernando,Alonso,16,DNF,0,Australia,20,Mar,2016,Race result
NC,Daniil,Kvyat,18,DNF,0,Monaco,29,May,2016,Race result
NC,Esteban,Gutierrez,9,DNF,0,Bahrain,3,Apr,2016,Race result
NC,Daniil,Kvyat,2,DNF,0,Austria,3,Jul,2016,Race result
NC,Max,Verstappen,33,DNF,0,Russia,1,May,2016,Race result
NC,Kevin,Magnussen,17,DNF,0,Malaysia,2,Oct,2016,Race result
NC,Nico,Hulkenberg,0,DNF,0,Russia,1,May,2016,Race result
NC,Fernando,Alonso,42,DNF,0,Europe,19,Jun,2016,Race result
NC,Kevin,Magnussen,5,DNF,0,Abu Dhabi,27,nov.,2016,Race result
NC,Marcus,Ericsson,38,DNF,0,Australia,20,Mar,2016,Race result
NC,Max,Verstappen,34,DNF,0,Monaco,29,May,2016,Race result
NC,Felipe,Nasr,48,DNF,0,Monaco,29,May,2016,Race result
NC,Nico,Hulkenberg,0,DNF,0,Singapore,18,Sep,2016,Race result
NC,Esteban,Gutierrez,39,DNF,0,Malaysia,2,Oct,2016,Race result
NC,Nico,Hulkenberg,1,DNF,0,United States,23,Oct,2016,Race result
NC,Jenson,Button,60,DNF,0,Hungary,24,Jul,2016,Race result
NC,Kimi,Räikkönen,10,DNF,0,Monaco,29,May,2016,Race result
NC,Sebastian,Vettel,26,DNF,0,Austria,3,Jul,2016,Race result
NC,Lewis,Hamilton,0,DNF,0,Spain,15,May,2016,Race result
NC,Romain,Grosjean,7,DNF,0,Malaysia,2,Oct,2016,Race result
NC,Esteban,Gutierrez,16,DNF,0,United States,23,Oct,2016,Race result
NC,Sebastian,Vettel,0,DNF,0,Malaysia,2,Oct,2016,Race result
NC,Kimi,Räikkönen,21,DNF,0,Australia,20,Mar,2016,Race result
NC,Kimi,Räikkönen,38,DNF,0,United States,23,Oct,2016,Race result
NC,Felipe,Nasr,46,DNF,0,Malaysia,2,Oct,2016,Race result
NC,Daniil,Kvyat,14,DNF,0,Abu Dhabi,27,nov.,2016,Race result
NC,Esteban,Gutierrez,60,DNF,0,Brazil,13,nov.,2016,Race result
NC,Kevin,Magnussen,32,DNF,0,Monaco,29,May,2016,Race result
NC,Felipe,Massa,46,DNF,0,Brazil,13,nov.,2016,Race result
NC,Max,Verstappen,28,DNF,0,United States,23,Oct,2016,Race result
NC,Marcus,Ericsson,11,DNF,0,Brazil,13,nov.,2016,Race result
NC,Kevin,Magnussen,5,DNF,0,Belgium,28,aug.,2016,Race result
NC,Marcus,Ericsson,11,DNF,0,Great Britain,10,Jul,2016,Race result
NC,Jenson,Button,1,DNF,0,Belgium,28,aug.,2016,Race result
NC,Felipe,Nasr,57,DNF,0,Germany,31,Jul,2016,Race result
NC,Romain,Grosjean,0,DNS,0,Singapore,18,Sep,2016,Race result
NC,Fernando,Alonso,45,DNF,0,Spain,15,May,2016,Race result
NC,Pascal,Wehrlein,0,DNF,0,Mexico,30,Oct,2016,Race result
NC,Carlos,Sainz,29,DNF,0,Bahrain,3,Apr,2016,Race result
NC,Carlos,Sainz,41,DNF,0,Abu Dhabi,27,nov.,2016,Race result
NC,Romain,Grosjean,0,DNS,0,Brazil,13,nov.,2016,Race result
NC,Pascal,Wehrlein,26,DNF,0,Italy,4,Sep,2016,Race result
